title,slug,videoUrl,description,brand,categories,specifications,shippingAndReturns,rating,isBestSeller,isNewArrival,isFeatured,isOnDeal,variant_name,variant_sku,variant_price,variant_salePrice,variant_stock,variant_inStock,variant_images,variant_weight,variant_height,variant_width,variant_depth,attribute1_name,attribute1_value,attribute2_name,attribute2_value,attribute3_name,attribute3_value
,,,,,,,,,,,,,Standard / Blue,PV_MZ94300001223PMGTIM_standard_blue,2310.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682030-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682030-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682030-product-9.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682030-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682030-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682030-product-7.webp,https://content.public.markaz.app/markazimagevideo/public/products/943-223-682030-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682030-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682030-product-8.webp",,,,,Color,Blue,Size,Standard,,
,,,,,,,,,,,,,Standard / Blue,PV_MZ1172200658SE_standard_blue,2510.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-681224-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-681224-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-681224-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-681224-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/products/1172-223-681224-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-681224-product-7.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-681224-product-8.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-681224-product-3.webp",,,,,Color,Blue,Size,Standard,,
,,,,,,,,,,,,,Standard / White,PV_MZ94300001386PMGTIM_standard_white,1510.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687575-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687575-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687575-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687575-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687575-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687575-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/products/943-223-687575-product-1.webp",,,,,Color,White,Size,Standard,,
,,,,,,,,,,,,,Free Size / White,PV_MZ67400000333CYCH_standard_white,1959.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/674-223-687990-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/674-223-687990-product-10.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/674-223-687990-product-9.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/674-223-687990-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/674-223-687990-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/674-223-687990-product-7.webp,https://content.public.markaz.app/markazimagevideo/public/products/674-223-687990-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/674-223-687990-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/674-223-687990-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/674-223-687990-product-8.webp",,,,,Size,Free Size,Color,White,,
,,,,,,,,,,,,,Standard / Blue,PV_MZ2060200023AASE_standard_blue,1560.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2060-223-686567-product-7.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2060-223-686567-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/products/2060-223-686567-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2060-223-686567-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2060-223-686567-product-2-withcode.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2060-223-686567-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2060-223-686567-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2060-223-686567-product-8.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2060-223-686567-product-9.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2060-223-686567-product-4.webp",,,,,Color,Blue,Size,Standard,,
,,,,,,,,,,,,,Standard / White,PV_MZ94300001348PMGTIM_standard_white,1510.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687251-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687251-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687251-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687251-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/products/943-223-687251-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687251-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-687251-product-1.webp",,,,,Color,White,Size,Standard,,
,,,,,,,,,,,,,Standard / Blue,PV_MZ1518200811BGSE_standard_blue,1509.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1518-223-687216-product-2-withcode.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1518-223-687216-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1518-223-687216-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/products/1518-223-687216-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1518-223-687216-product-9.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1518-223-687216-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1518-223-687216-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1518-223-687216-product-7.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1518-223-687216-product-8.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1518-223-687216-product-5.webp",,,,,Color,Blue,Size,Standard,,
,,,,,,,,,,,,,Standard Size / White,PV_MZ2073200060BBNDMDNO_standard-size_white,1809.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/2073-223-687693-product-2.webp,,,,,Size,Standard Size,Color,White,,
,,,,,,,,,,,,,Free Size / White,PV_MZ1701201282ALHAGS_standard_white,1760.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-691524-product-1.webp,,,,,Size,Free Size,Color,White,,
,,,,,,,,,,,,,Free Size / Multicolor,PV_MZ1172200661SE_standard_standard,2460.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/products/1172-223-682089-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-682089-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-682089-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-682089-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-682089-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-682089-product-5.webp",,,,,Size,Free Size,Color,Multicolor,,
